Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
19/03/21,Easy Trip,510.0,0.0,2.79,14.48,3.39,187.0,-44.3
24/03/21,Anupam Rasayan,760.0,30.8,62.06,4.62,23.86,555.0,-5.24
25/03/21,Laxmi Organic,600.0,1.13,0.73,4.41,2.68,130.0,26.62
25/03/21,Craftsman,823.7,0.56,0.05,1.04,0.69,1490.0,-3.83
26/03/21,Suryoday Small,582.34,2.18,1.31,3.09,2.37,305.0,-9.44
26/03/21,Kalyan Jeweller,1175.0,1.18,0.97,1.47,1.28,87.0,-13.45
30/03/21,Nazara,582.91,52.82,148.42,34.49,75.04,1101.0,-28.39
07/04/21,Barbeque Nat,453.6,0.0,0.0,0.0,0.0,500.0,18.08
19/04/21,Macrotech Dev,2500.0,3.05,1.44,0.4,1.36,486.0,-4.7
14/05/21,PowerGrid InvIT,7734.99,0.0,0.0,0.0,0.0,100.0,2.98
24/06/21,Sona BLW,5550.0,1.57,0.22,0.66,1.04,291.0,24.69
24/06/21,Shyam Metalics,909.0,62.18,172.51,5.29,56.56,306.0,22.83
28/06/21,Dodla Dairy,521.0,84.88,73.26,11.34,45.62,428.0,42.31
05/07/21,Krishna Inst.,2146.0,5.26,1.89,2.9,3.86,825.0,32.95
07/07/21,India Pesticide,800.0,2.64,1.36,4.4,3.25,296.0,13.33
19/07/21,G R Infra,963.28,93.18,73.01,4.89,43.48,837.0,108.7
19/07/21,Clean Science,1546.0,156.37,206.43,9.0,93.41,900.0,76.13
23/07/21,Zomato,9375.0,51.79,32.96,7.45,38.25,76.0,65.59
29/07/21,Tatva Chintan,500.0,2.55,9.78,13.36,9.5,1083.0,113.32
06/08/21,Glenmark Life,1513.0,0.98,0.87,4.61,2.78,720.0,3.92
09/08/21,Rolex Rings,732.27,143.58,360.11,24.49,130.44,900.0,29.62
16/08/21,Windlas Biotech,405.95,24.4,15.73,24.27,22.47,460.0,-11.59
16/08/21,Exxaro Tiles,161.09,17.67,5.36,40.1,22.68,120.0,10.21
16/08/21,Krsnaa Diagnost,1222.0,49.83,116.3,42.04,64.4,954.0,3.85
16/08/21,Devyani Int,1858.0,95.27,213.06,39.52,116.71,90.0,37.06
20/08/21,CarTrade Tech,2998.0,0.55,0.09,0.81,0.58,1618.0,-7.29
23/08/21,Nuvoco Vistas,5089.29,0.1,0.02,0.24,0.15,570.0,-6.79
24/08/21,CHEMPLAST SANMA,3929.91,2.7,1.03,2.29,2.17,541.0,-1.13
06/09/21,APTUS VALUE,2790.0,32.41,33.91,1.35,17.2,353.0,5.96
14/09/21,Vijaya Diagnost,1895.04,13.07,1.32,1.09,4.54,531.0,16.63
14/09/21,AMI Organics,571.96,86.64,154.81,13.36,64.54,610.0,53.2
24/09/21,Sansera Eng,1282.0,26.47,11.37,3.15,11.47,744.0,10.04
01/10/21,Paras Defence,181.13,90.48,435.14,61.42,150.07,175.0,185.0
11/10/21,ABSL AMC,2768.0,4.1,2.6,1.68,2.43,712.0,-1.73
10/11/21,FSN E-Co Nykaa,5375.0,91.18,112.02,12.24,81.78,1125.0,96.15
12/11/21,Fino Payments,1209.0,1.65,0.21,5.92,2.03,577.0,-5.5
15/11/21,PB Fintech,6273.5,9.83,2.58,1.67,6.48,980.0,22.74
15/11/21,Sigachi Ind,0.0,42.15,78.82,41.26,49.56,163.0,270.4
15/11/21,SJS Enterprises,816.57,1.42,2.32,1.38,1.59,542.0,-5.93
18/11/21,One 97 Paytm,18915.9,2.79,0.24,1.66,1.89,2150.0,-27.25
18/11/21,Sapphire Foods,2073.0,3.11,2.34,5.25,3.29,1180.0,3.06
23/11/21,Latent View,622.11,145.48,850.66,119.44,326.49,197.0,148.02
26/11/21,Tarsons Product,1030.22,1.06,3.4,2.49,2.27,662.0,26.89
10/12/21,Star Health,7318.15,1.03,0.19,1.1,0.79,900.0,0.76
13/12/21,Tega Industries,619.23,215.45,666.19,29.44,219.04,453.0,60.15
14/12/21,Anand Rathi,660.0,2.5,25.42,7.76,9.78,550.0,6.09
17/12/21,Rategain Travel,1354.0,8.42,42.04,8.08,17.41,425.0,-19.88
20/12/21,Shriram Prop,600.0,1.85,4.82,12.72,4.6,118.0,-15.76
21/12/21,C. E. Info Syst,1039.61,196.36,424.69,15.2,154.71,1033.0,35.0
22/12/21,Metro Brands,1376.63,8.49,3.02,1.13,3.64,500.0,-1.29
24/12/21,Data Patterns,601.2,190.86,254.22,23.14,119.62,585.0,29.03
27/12/21,HP Adhesives,125.96,1.82,19.04,81.24,20.96,274.0,22.24
28/12/21,Supriya Lifesci,700.0,31.83,161.22,56.01,71.51,274.0,42.46
31/12/21,CMS Info System,1100.0,1.98,1.45,2.15,1.95,216.0,9.91
31/01/22,AGS Transact,716.87,2.68,25.61,3.08,7.79,175.0,-7.83
08/02/22,Adani Wilmar,3600.0,5.73,56.3,3.92,17.37,230.0,15.3
16/02/22,Vedant Fashions,3149.0,7.49,1.07,0.39,2.57,866.0,7.95
07/04/22,Uma Exports,60.0,0.0,0.0,0.0,0.0,68.0,23.53
11/04/22,Veranda Learn,200.0,1.61,2.09,5.68,2.24,137.0,17.08
13/04/22,Hariom Pipe,130.05,0.7,2.68,6.92,3.57,153.0,46.86
09/05/22,Campus Active,1400.14,84.22,10.68,4.73,28.55,292.0,29.66
10/05/22,Rainbow Child,1595.59,16.4,1.37,0.71,5.26,542.0,-16.96
17/05/22,LIC India,21000.0,1.7,1.39,1.14,1.64,949.0,-7.75
20/05/22,Prudent Advisor,538.61,1.23,0.74,0.61,0.81,630.0,-10.68
24/05/22,Venus Pipes,165.42,6.01,6.59,10.9,8.58,326.0,7.9
24/05/22,Delhivery,5235.0,0.47,0.27,0.31,0.39,487.0,10.32
31/05/22,Ethos,472.29,0.98,0.76,0.32,0.61,878.0,-8.24
01/06/22,eMudhra,412.79,0.0,0.01,0.44,0.23,256.0,1.11
03/06/22,Aether Ind,808.04,8.0,1.33,0.59,2.91,642.0,20.99
26/08/22,Syrma SGS,840.13,42.42,7.13,2.84,15.59,220.0,42.3
06/09/22,Dreamfolks Serv,562.1,27.48,14.18,24.19,23.25,326.0,41.92
15/09/22,TMB,792.0,0.51,1.77,3.44,1.39,525.0,-3.15
